marka,model,il,yurus,muherrik,qiymet
Honda,Civic,2011,286000,1.5,13900
Wuling,Alvez,2025,0,1.5,33900
Li,Auto L6,2025,0,1.5,64600
LADA,(VAZ) 2107,2002,196588,1.6,4800
Wuling,Starlight S,2025,0,1.5,37900
Hyundai,Elantra,2017,197219,2.0,17900
BMW,330,2019,84800,2.0,37400
BMW,X5,2017,266000,2.0,67000
Land,Rover Range Rover,2019,202000,3.0,110500
Ford,Fusion (North America),2018,100000,1.5,21400
Toyota,Corolla Cross,2025,0,2.0,35700
BMW,328,1999,250000,2.8,9500
GWM,(Great Wall Motor) Poer,2024,0,2.0,50900
BYD,Destroyer 05,2022,33396,1.5,17600
Changan,CS 55 Plus,2025,0,1.5,27900
Leapmotor,C01,2024,0,1.5,39900
Land,Rover Range Rover,2016,80000,3.0,59900
BYD,Seal 05,2025,0,1.5,22000
Mercedes,E 220,2000,454000,2.2,13900
Changan,CS 55 Plus,2025,0,1.5,29700
Toyota,Prius,2008,453122,1.5,10500
Toyota,Camry,2019,142704,2.5,39800
Chevrolet,Cruze,2018,188000,1.4,18500
Hyundai,Elantra,2018,101000,1.6,24000
BYD,Seal 05,2025,0,1.5,23200
BMW,320,1993,340000,2.0,3888
Nissan,Primera,2005,241000,1.8,7800
Li,Auto L9,2025,0,1.5,119000
LADA,(VAZ) 2106,2005,36000,1.6,4500
BMW,525,2003,353000,2.5,12800
Changan,Uni-Z,2025,0,1.5,34000
Kia,Sportage,2012,165000,2.0,21500
Ford,Transit,2000,370000,2.5,14500
Mercedes,E 300,2017,68000,2.0,47500
Changan,Uni-Z,2025,0,1.5,32450
Ford,Transit,2006,372000,2.2,24500
Porsche,Cayenne,2018,55000,3.0,113900
Jeep,Cherokee,1993,280000,4.0,10900
Kia,Rio,2018,120000,1.6,19900
LADA,(VAZ) 2107,2008,81000,1.6,7500
DFSK,E5,2024,0,1.5,39900
C.Moto,CM400R-F8,2022,40,4003,5200
Hyundai,Staria,2024,0,2.2,66000
Mercedes,C 180,1997,320000,1.8,8400
Kia,Rio,2022,24898,1.4,26500
Ford,Transit,2010,380000,2.2,23900
Hyundai,Sonata,2007,268000,2.4,11400
Toyota,Aqua,2018,70000,1.5,17900
Toyota,Land Cruiser,2019,120000,4.0,89930
Land,Rover Discovery,2014,205000,3.0,33800
BMW,X5,2025,0,3.0,261600
Changan,Uni-Z,2025,0,1.5,32810
Kia,Forte,2014,200997,1.8,19000
Changan,CS 55 Plus,2025,0,1.5,29300
Mercedes,E 220,2014,215000,2.2,32000
Toyota,Camry,2018,135000,2.5,38250
Volkswagen,Touareg,2008,286000,3.6,13900
Land,Rover Range Rover,2017,55300,3.0,32300
Changan,Uni-Z,2025,0,1.5,33000
Toyota,Ractis,2015,68700,1.5,13800
BYD,Seal 05,2025,0,1.5,22450
Chevrolet,Cruze,2015,238884,1.4,13200
BMW,X6,2009,199000,4.4,36500
Hyundai,Elantra,2024,0,1.6,36500
Changan,Qiyuan Q07,2025,5900,1.5,43500
Lexus,ES 300h,2023,24000,2.5,67830
Kia,Sorento,2018,198762,2.0,35500
Opel,Astra,2005,187759,1.4,10500
Mercedes,ML 350,2009,275000,3.5,19600
Toyota,RAV4,2019,108000,2.5,36800
Changan,Qiyuan Q07,2025,0,1.5,45900
Harley-Davidson,FLHX Street Glide,2020,4004,18003,44200
Ford,Fusion (North America),2019,89000,1.5,19000
Mercedes,ML 350 4MATIC,2012,165000,3.5,38250
Mercedes,Viano,2007,762788,2.2,28400
Hyundai,Sonata,2024,0,2.5,54500
Chevrolet,Cruze,2017,198000,1.4,16500
Mercedes,Viano,2013,535270,2.2,35000
Mercedes,E 350,2012,185012,3.5,28300
Volkswagen,Passat,2017,205000,1.8,21500
Hyundai,Sonata,2024,0,2.5,51900
Toyota,Camry,2017,150000,3.5,32900
Hyundai,Grandeur,2023,26000,1.6,71910
Chevrolet,Cruze,2013,254395,1.4,13800
Chevrolet,Camaro,2017,100500,2.0,33700
Changan,Qiyuan Q05,2025,0,1.5,34900
Changan,Uni-Z,2025,0,1.5,28730
Nissan,March,2018,53000,1.2,14900
BMW,530,2018,67000,2.0,47260
Kia,K5,2015,200000,2.0,19500
Hyundai,Elantra,2024,16700,1.6,36000
Mazda,RX-8,2003,152000,1.3,11000
Kia,Forte,2015,152400,2.0,18400
Toyota,Highlander,2025,0,2.5,101830
BMW,X6,2011,157749,3.0,37000
Chevrolet,Malibu,2019,133978,1.5,18900
Hyundai,Grandeur,2023,26000,1.6,71910
Chevrolet,Cruze,2013,254395,1.4,13800
Kia,Clarus,1999,230000,2.0,4700
LADA,(VAZ) 2106,2004,35000,1.6,4500
Geely,Galaxy L6,2025,0,1.5,38500
Mercedes,C 240,2001,227203,2.6,8500
Nissan,Sunny,2008,225000,1.6,13500
Lexus,ES 350,2022,4400,3.5,86700
Mercedes,CLS 350,2007,344000,3.0,16900
LADA,(VAZ) 2115,2009,360045,1.6,6900
Mercedes,E 320,2000,258000,3.2,24800
Land,Rover RR Sport,2015,167000,3.0,56000
LADA,(VAZ) 2106,2005,123456,1.6,5000
Land,Rover Range Rover,2020,60200,2.0,117300
Toyota,Prius,2008,300000,1.5,11300
BMW,320,2013,153000,2.0,27800
Mercedes,ML 300,2014,170000,3.5,34850
Chevrolet,Cobalt,2024,14000,1.5,35000
Land,Rover Range Rover,2019,95363,3.0,88910
Toyota,Land Cruiser Prado,2008,180000,2.7,25900
Hyundai,Santa Fe,2015,119000,2.4,28500
Hyundai,Accent,2011,240000,1.4,15700
Mercedes,Sprinter 315,2008,246654,2.2,25700
Mercedes,E 300 e,2024,9000,2.0,144500
Changan,Qiyuan Q07,2025,0,1.5,40777
Changan,Qiyuan A05,2025,0,1.5,25500
Li,Auto L9,2024,0,1.5,95000
Land,Rover Defender,2022,0,3.0,158100
Hyundai,Sonata,2020,137000,1.6,32800
Toyota,RAV4,2022,67000,2.0,46000
Toyota,Corolla Cross,2025,0,2.0,35700
Mercedes,GL 350 4MATIC,2015,189000,3.0,55950
Mercedes,C 180,1994,397258,1.8,4900
Nissan,Tiida,2012,134786,1.5,13500
Opel,Astra,1998,400000,1.8,8000
Hyundai,Grandeur,2017,198500,2.2,30800
Chevrolet,Cruze,2015,250000,1.4,16800
Hyundai,Venue,2025,0,1.6,36500
Mercedes,E 300,2017,111600,2.0,46500
Ford,Transit,2011,235000,2.4,25900
Hyundai,Sonata,2006,286523,2.4,11900
Ford,Fusion (North America),2020,103000,1.5,18800
BMW,X7,2025,6200,3.0,256700
Changan,CS 55 Plus,2025,0,1.5,29999
Opel,Vectra,1999,273500,1.6,3400
Hyundai,ix35,2013,189000,2.0,22700
Toyota,Camry,2008,197000,2.4,19800
LADA,(VAZ) 2107,2009,63000,1.6,7000
Infiniti,QX50,2022,45000,2.0,44800
Volkswagen,Touareg,2004,242316,3.2,11900
Ford,Transit,2015,138000,2.2,35400
Mercedes,E 220,2014,187000,2.1,29900
Hyundai,Elantra,2012,300947,1.8,16490
Ford,Transit,2009,349000,2.4,18900
BMW,530,2007,435624,3.0,12800
Kia,Optima,2016,196179,2.0,24700
Lexus,GX 460,2009,211000,4.6,35000
Ford,Transit,2014,168000,2.2,34400
Mercedes,E 200,1993,254530,2.0,5800
Ford,Transit,2011,282000,2.2,29000
Changan,Qiyuan Q07,2025,0,1.5,44900
Li,Auto L9,2025,0,1.5,119000
Honda,Insight,2022,26490,1.5,26300
Changan,Qiyuan A07,2025,0,1.5,38930
Hyundai,Accent,2021,48039,1.6,24500
BMW,520,2015,136000,2.0,38900
Daewoo,Gentra,2014,358000,1.5,12500
BMW,530e,2017,80850,2.0,48790
Khazar,SD,2019,363000,1.7,8500
Ford,Fusion (North America),2017,120701,2.0,29500
Nissan,Teana,2010,227000,2.5,17300
Toyota,Camry,2015,127000,2.5,26700
Ford,Transit,2011,282000,2.2,29000
Nissan,Tiida,2008,197956,1.6,11000
ZIL,130,1983,200000,6.0,7500
Nissan,Tiida,2012,84680,1.5,13900
Toyota,Land Cruiser Prado,2014,124000,2.7,44030
Toyota,Esquire,2017,120000,1.8,36500
Hyundai,Santa Fe,2016,228000,2.0,32600
Kia,Sorento,2005,450000,2.4,11000
BYD,Seal 05,2025,0,1.5,23100
Ford,Transit,2014,111000,2.2,42500
Ford,Fusion (North America),2014,227290,1.5,15300
Ford,Transit,2011,171000,3.2,36400
BYD,Seal 05,2025,0,1.5,22550
Toyota,Camry,2018,67000,2.5,26800
Honda,Accord,2018,120000,1.5,28500
Opel,Astra,2006,234356,1.4,11000
BMW,M3,2017,93000,3.0,110500
LADA,(VAZ) 2115,2004,250000,1.5,5300
Lexus,ES 300h,2024,6323,2.5,93500
Toyota,Land Cruiser,2014,187000,4.0,74460
Changan,Qiyuan A07,2025,0,1.5,38930
Toyota,Land Cruiser Prado,2010,197000,2.7,29500
Mitsubishi,Mirage,2019,83743,1.2,16300
Toyota,Prius,2008,300000,1.5,13000
JMC,Grand Avenue,2025,0,2.3,63900
Hyundai,Sonata,2015,159700,2.0,26900
Li,Auto L6,2025,0,1.5,59500
Chevrolet,Cruze,2014,268000,1.4,14200
Nissan,Patrol,2013,132000,5.6,46750
Ford,Transit,2011,282000,2.2,29000
Cadillac,CT5,2023,33800,2.0,62900
Hyundai,Santa Fe,2014,250000,2.0,26700
Mercedes,E 280,2007,221520,3.0,19000
Mercedes,S 55 AMG,2004,228700,5.4,27000
Kia,Optima,2015,157846,2.0,24300
Toyota,Prius,2008,300000,1.5,13000
Hyundai,Elantra,2014,246000,1.8,20500
Hyundai,Sonata,2016,162544,2.0,23800
GAC,S7,2025,0,1.5,49900
Khazar,LX,2021,290000,1.7,8500
Ford,Focus,2007,250000,1.6,8600
Chevrolet,Cruze,2014,176785,1.4,13200
Geely,Galaxy Starship 7,2025,0,1.5,35700
BMW,320,1996,280000,2.0,6100
LADA,(VAZ) 2107,2005,255300,1.6,3400
Hyundai,Sonata,2008,457000,2.0,13300
Kia,Sorento,2015,175000,2.0,31500
Mercedes,E 350,2007,315000,3.5,19500
Hyundai,Grandeur,2015,164000,2.4,30500
Fiat,Doblo,2008,257000,1.3,10200
GAC,GS8,2024,0,2.0,69900
BMW,525,2000,250000,2.5,9000
Nissan,Juke,2014,129000,1.6,19200
Mitsubishi,Outlander,2025,0,2.4,61030
Nissan,Note,2016,35000,1.2,16800
Hyundai,Elantra,2014,240000,1.8,22400
Mercedes,C 200,2018,110000,1.5,46750
Toyota,Corolla,2025,0,1.8,32000
BYD,Seal 05,2025,0,1.5,22199
Zonsen,Carrera,2025,0,3003,4990
Kia,Sorento,2022,33451,1.6,68800
Changan,Uni-Z,2025,0,1.5,33123
Zonsen,RA1,2025,0,1503,3700
Kia,Sportage,2016,185075,2.0,30000
Ford,Tourneo Connect,2011,192000,1.8,14500
Changan,Uni-Z,2025,0,1.5,32200
KamAz,53212,1992,258000,11,30000
Kia,Sorento,2022,56700,1.6,59700
Land,Rover RR Sport,2015,174000,3.0,50830
LADA,(VAZ) Niva,2021,43000,1.7,19500
Mercedes,C 240,1997,445000,2.4,10200
Hyundai,Elantra,2019,81000,2.0,27000
Changan,Deepal S05,2025,0,1.5,36800
Daewoo,Nexia,2011,330000,1.5,6600
Ford,Fusion (North America),2018,170430,1.5,22900
Hyundai,Sonata,2015,77110,2.0,25900
Kia,Optima,2015,188000,2.0,28900
Kia,K3,2014,178898,1.6,19900
Hyundai,Elantra,2019,76800,2.0,27900
Volkswagen,Passat,2002,280000,2.8,4500
Volkswagen,Golf,2001,272476,2.0,7000
Changan,Deepal S09,2025,0,1.5,83130
Mitsubishi,Pajero,2016,109000,3.8,38700
Hyundai,Elantra,2020,66200,1.6,25700
Geely,Monjaro,2025,0,1.5,49300
Hyundai,Elantra,2017,192114,2.0,17500
LADA,(VAZ) XRAY Cross,2021,112000,1.6,17500
Ford,Fusion (North America),2016,203000,2.0,22500
Toyota,Land Cruiser,2012,168000,4.0,54000
Hyundai,Sonata,2020,94200,1.6,33500
Land,Rover Discovery,2005,370000,2.7,15800
Land,Rover Range Rover,2015,176351,3.0,68000
Toyota,Corolla Cross,2025,0,2.0,36500
Fiat,Doblo,2008,161400,1.3,9000
Hyundai,Elantra,2019,122500,1.6,25900
BMW,X7,2021,65804,3.0,106250
VGV,U75 Plus,2025,0,2.0,35600
KamAz,6520,2008,350000,11,34500
Suzuki,Xbee,2017,153000,1.0,18300
Haval,H6,2021,95000,1.5,28500
Mercedes,E 240,2004,267000,2.6,15900
Land,Rover RR Evoque,2012,181000,2.0,23400
Toyota,Prius Prime,2021,29000,1.8,29900
LADA,(VAZ) Niva,2024,18000,1.7,22000
Toyota,Corolla Cross,2025,0,2.0,36500
Fiat,Doblo,2008,161400,1.3,9000
Toyota,Highlander,2025,0,2.5,105740
Toyota,Highlander,2024,0,2.5,84830
Toyota,Highlander,2024,0,2.5,92650
Ford,Transit,2010,206600,2.2,16500
BMW,525,2007,230000,2.5,22500
Kia,Ceed SW,2008,308000,1.4,13600
Changan,Qiyuan Q07,2025,0,1.5,43900
Kia,Sorento,2003,277990,2.5,9500
Kia,Cerato,2014,213456,2.0,19700
Mercedes,C 240,1998,458000,2.4,9500
Toyota,Camry,2025,0,2.5,76330
Toyota,RAV4,2025,0,2.5,63750
Chevrolet,Cruze,2016,123000,1.4,13900
Mercedes,S 450,2018,143000,3.0,79777
Mercedes,C 200,1999,328000,2.0,11300
Changan,Qiyuan Q05,2025,0,1.5,28900
Hyundai,Grandeur,2023,38189,1.6,60990
Lexus,RX 350h,2024,14000,2.5,110777
Nissan,X-Trail,2025,0,2.5,72900
Changan,Uni-Z,2025,0,1.5,32500
Mercedes,V 250,2022,8000,2.2,121550
Ford,Transit,2006,264000,2.2,14800
GWM,(Great Wall Motor) Tank 300,2025,0,2.0,63900
Changan,Alsvin,2024,0,1.5,23900
Honda,CR-V,2024,0,2.0,59777
Li,Auto L6,2025,0,1.5,78200
BMW,528,2013,220000,2.0,22500
Mercedes-Maybach,GLS 600 4MATIC,2021,22000,4.0,316200
Hyundai,Santa Fe,2009,220112,2.0,19000
BMW,520,2013,314000,2.0,25500
Hyundai,Santa Fe,2020,84300,2.0,42900
Haval,H6,2022,18000,1.5,35000
Li,Auto L9,2024,16150,1.5,94350
Nissan,March,2016,53000,1.2,14300
Ford,Transit,2006,264000,2.2,14800
Mitsubishi,Eclipse Cross,2025,0,2.0,47430
Opel,Astra,1999,440000,1.8,7800
Changan,Uni-Z,2025,0,1.5,29300
Cadillac,Escalade,2008,99000,6.2,48450
GWM,(Great Wall Motor) Wey 80,2025,0,1.5,99000
Mercedes,S 350 d,2015,300054,3.0,64600
Opel,Astra,2007,347000,1.3,9700
Opel,Astra,2006,224213,1.4,10900
Bentley,Flying Spur,2015,75300,6.0,104777
Chery,Tiggo 8 Pro e+,2025,0,1.5,54900
Lexus,GS 300,2015,95693,2.0,30430
LADA,(VAZ) 2106,1998,82191,1.6,4500
Mercedes,E 240,2000,336207,2.4,17300
Toyota,Camry,2025,0,2.5,76330
Hyundai,Sonata,2008,213000,2.4,16400
Mini,Cooper,2010,250000,1.6,11000
Volkswagen,Passat,2007,335000,2.0,8500
Opel,Astra,2005,198000,1.4,11500
Ford,Transit,2007,259110,2.2,14800
Opel,Astra,2006,193001,1.4,10800
Mercedes,E 300 e 4MATIC,2024,76,2.0,129030
Land,Rover RR Sport,2015,129000,3.0,56950
Changan,Qiyuan Q07,2025,0,1.5,40900
Changan,Uni-Z,2025,0,1.5,27700
Fiat,Ducato,2024,0,2.2,95000
GWM,(Great Wall Motor) Tank 300,2025,0,2.0,63900
Audi,A8,2025,0,3.0,237000
Changan,Uni-Z,2025,0,1.5,33000
Dodge,Durango,2012,215000,3.6,22700
Lexus,NX 200,2020,47000,2.0,49300
Changan,Uni-Z,2025,0,1.5,33000
Porsche,Cayenne GTS,2015,103000,3.6,78200
BMW,X7,2019,124800,3.0,103700
LADA,(VAZ) 2106,1999,250000,1.6,5500
Mercedes,ML 320 4MATIC,2002,400000,3.2,9800
Changan,Qiyuan Q07,2025,0,1.5,40900
Changan,Uni-Z,2025,0,1.5,32400
Chevrolet,Cruze,2014,174800,1.4,12300
Mercedes,S 350 d,2015,205000,3.0,68000
LADA,(VAZ) 2112,2002,250000,1.6,4700
GWM,(Great Wall Motor) Poer,2025,0,2.0,42900
Toyota,Prius,2008,346000,1.5,12600
GWM,(Great Wall Motor) Tank 300,2025,0,2.0,63900
Toyota,Prius,2008,394000,1.5,11600
Ford,Tourneo Connect,2011,220000,1.8,10600
Mitsubishi,Lancer,1997,279000,1.3,3300
Hyundai,Avante,2007,220000,1.6,13000
GWM,(Great Wall Motor) Poer,2024,0,2.0,52900
Land,Rover RR Velar,2022,24000,2.0,90100
Hyundai,Elantra,2014,91000,1.8,18800
GWM,(Great Wall Motor) Wey 07,2025,0,1.5,76900
Genesis,G70,2023,29680,2.0,53992
Land,Rover RR Sport,2023,48800,3.0,222222
GWM,(Great Wall Motor) Wey 03,2025,0,1.5,51900
Hyundai,Santa Fe,2017,132000,2.0,32000
Chevrolet,Damas,2025,0,0.8,16700
GWM,(Great Wall Motor) Tank 300,2025,0,2.0,63900
Land,Rover Range Rover,2008,199500,4.2,31000
GWM,(Great Wall Motor) Tank 500,2025,0,2.0,85900
Toyota,Land Cruiser Prado,2024,0,2.4,124950
Geely,Galaxy Starship 7,2025,0,1.5,36900
Mercedes,V 300,2023,0,3.0,153353
BYD,Qin Plus,2025,0,1.5,22400
Lincoln,MKZ,2020,113000,2.0,34000
Mercedes,GLE 350 4MATIC Coupe,2022,14500,2.0,123250
BYD,Destroyer 05,2025,0,1.5,22000
Toyota,Land Cruiser Prado,2014,176000,2.7,48450
Nissan,Navara,2008,290000,2.5,21500
Genesis,G70,2023,29680,2.0,53992
Kia,Ceed SW,2008,270000,1.6,14400
BMW,528,2015,179000,2.0,32300
Hyundai,Santa Fe,2010,216802,2.2,22800
GWM,(Great Wall Motor) Tank 500,2025,0,2.0,85900
Chevrolet,Cruze,2019,195354,1.4,17800
Land,Rover RR Evoque,2023,24000,1.5,99450
GAZ,"24 ""Volga""",1984,158000,2.5,4700
Chevrolet,Captiva,2025,0,1.5,42000
Chevrolet,Cobalt,2025,0,1.5,23000
Changan,CS 55 Plus,2025,0,1.5,25390
Ford,Focus,2014,155000,1.6,12800
Chevrolet,Labo,2025,0,0.8,17400
Chevrolet,Labo,2025,0,0.8,17400
Changan,Qiyuan Q05,2025,0,1.5,28500
Changan,Qiyuan Q07,2025,0,1.5,39900
BMW,320,2008,138000,2.0,16500
Hyundai,Avante,2015,139000,1.6,21000
Geely,Monjaro,2025,0,1.5,47600
BMW,330,2020,135000,2.0,45730
BMW,528,2015,225621,2.0,31000
Chevrolet,Cruze,2015,266000,1.4,14000
Ford,Fusion (North America),2017,164153,2.0,27500
Hyundai,Santa Fe,2014,229000,2.0,27500
Kia,Optima,2016,140000,2.0,26000
Changan,Qiyuan Q05,2025,0,1.5,28500
Kia,Optima,2016,81000,2.0,27000
Nissan,Magnite,2025,0,1.0,29900
AODES,Desertcross 1000-6 HVAC,2025,0,10003,43000
Mercedes,G 63 AMG,2024,9313,4.0,419730
Kia,Rio X-Line,2021,134000,1.6,23500
Mercedes,C 300 4MATIC,2016,91000,2.0,40500
Land,Rover Range Rover,2019,95363,3.0,88910
Toyota,Land Cruiser,2017,72331,4.6,128350
Land,Rover Range Rover,2017,174000,3.0,72760
Ford,Transit,2008,86500,2.4,38500
Mercedes,C 240,2000,427000,2.4,11800
Kia,K5,2016,110000,1.7,25900
Chevrolet,Cruze,2016,219000,1.4,14500
Changan,Qiyuan Q05,2025,0,1.5,28500
Kia,Optima,2016,81000,2.0,27000
Jeep,Wrangler,2024,8000,2.0,72250
Ford,Transit,2008,183000,2.4,22800
Hyundai,Genesis,2013,249000,3.8,20500
Hyundai,Verna,2005,299300,1.5,10900
Ford,Fusion (North America),2017,199000,2.0,24000
BMW,X5,2023,39000,3.0,144500
BMW,520,2015,136000,2.0,38900
JAC,JS2,2025,0,1.5,17700
BMW,X7,2019,101163,3.0,90440
Land,Rover Discovery,2019,92000,2.0,52530
Hyundai,Elantra,2014,190000,1.8,21600
Mercedes,Sprinter 315,2010,584192,3.0,31000
Chery,Tiggo 8 Pro e+,2025,0,1.5,54900
Kia,Sportage,2011,143300,2.0,25000
BMW,530,2020,85000,2.0,51000
Infiniti,I30,2001,200000,3.0,3700
Hyundai,Grandeur,2024,22000,1.6,68000
BMW,730,2020,120000,3.0,84830
Ford,Transit,2002,500000,2.0,10200
Nissan,Tiida,2008,282400,1.6,13200
BMW,520,2025,0,2.0,161600
BMW,328,2014,171000,2.0,26500
Changan,CS 55 Plus,2025,0,1.5,30500
Soueast,S07,2025,0,1.6,33900
Nissan,Magnite,2025,0,1.0,29900
Hyundai,Accent,2022,67000,1.6,21000
Changan,Qiyuan A05,2025,0,1.5,27000
Kia,Carnival,2022,66200,2.2,64000
Hyundai,Santa Fe,2017,197949,2.0,33500
Toyota,Land Cruiser Prado,2006,286174,4.0,23700
Kia,Seltos,2021,54600,2.0,35500
Mercedes,E 240,1998,325680,2.4,13500
Ford,Transit,2014,330000,2.2,26000
Hyundai,Grandeur,2015,172000,2.2,25900
Honda,Clarity,2018,115000,1.5,23000
Hyundai,Grandeur,2015,232000,2.2,29500
Jeep,Wrangler,2022,27000,2.0,67830
Volkswagen,Polo,2019,31245,1.6,23500
BMW,X5,2008,367000,3.0,28700
Opel,Astra,1999,228000,1.6,5700
Land,Rover Range Rover,2023,43594,3.0,200600
Land,Rover Range Rover,2018,153000,3.0,84150
Ford,Transit,2002,280000,2.4,17500
Toyota,Camry,2006,260500,2.4,16000
Lexus,LX 700h,2025,0,3.4,295800
Jeep,Wrangler,2011,198500,3.6,40800
LADA,(VAZ) 2107,2004,20000,1.5,4500
Nissan,Note,2012,84000,1.2,12000
Ford,Transit,2011,270000,2.2,19500
BMW,X7,2019,86937,3.0,84490
Kia,Sorento,2015,176000,2.0,33900
Chevrolet,Cruze,2012,216786,1.4,11900
Ford,Fusion (North America),2019,130000,1.5,20900
Hyundai,Santa Fe,2016,147850,2.0,34700
Ford,Transit,2006,180000,2.4,26500
Toyota,Camry,2018,165000,2.5,29500
BMW,740,2024,49851,3.0,144160
BMW,530e,2018,68000,2.0,39900
Hyundai,Santa Fe,2013,220000,2.4,24500
BMW,X1,2012,152000,2.0,23500
Hyundai,Sonata,2024,21000,2.0,44700
Volvo,XC90,2025,0,2.0,167605
JAC,JS3,2025,0,1.6,19700
Changan,Uni-Z,2025,0,1.5,32600
Mercedes,C 200,2021,42000,1.5,75650
Mercedes,E 220,2016,78000,2.2,50000
Ford,Fusion (North America),2020,140000,1.5,23500
DAF,105 XF,2017,750000,13,63000
Land,Rover RR Sport,2022,49000,3.0,202300
Toyota,Corolla Cross,2024,0,2.0,34400
Kia,Sportage,2012,142000,2.0,23300
Hyundai,Elantra,2008,250000,2.0,13900
Daewoo,Nexia,1997,252486,1.5,3400
GWM,(Great Wall Motor) Wey 03,2025,0,1.5,51900
Ford,Transit,2010,182000,2.4,26500
Changan,Uni-Z,2025,0,1.5,33500
Hyundai,Accent,2019,143232,1.6,20900
Kia,Sportage,2011,228000,2.0,22000
Ford,Transit,2009,315000,2.4,32800
Hyundai,Santa Fe,2019,37015,2.0,41700
Dodge,Durango,2012,215000,3.6,22700
Mercedes,E 350,2012,237000,3.5,29750
Jeep,Wrangler,2023,67557,2.0,54740
Hyundai,Santa Fe,2018,146000,2.0,46500
Nissan,Sunny,2012,198521,1.5,7600
Mitsubishi,Pajero,2007,204000,3.0,20900
LADA,(VAZ) 2115,2008,429000,1.5,8000
Kia,K5,2025,0,2.0,61900
Mercedes,E 300,2019,120701,2.0,56950
Kia,Niro,2024,0,1.6,48100
Mercedes,E 280,2008,190000,3.0,22000
Hyundai,Terracan,2002,300000,2.5,6000
Kia,Sonet,2025,0,1.5,37400
Kia,Sportage,2024,0,1.6,61200
Benda,Napoleon 250,2025,0,2503,8999
Changan,Uni-V iDD,2023,28000,1.5,27500
Hyundai,Santa Fe,2014,140000,2.0,30900
Land,Rover Defender,2020,35000,3.0,149600
Changan,Qiyuan Q07,2025,0,1.5,47900
Mercedes,Atego 816,2007,500000,4.3,35500
Ford,Fusion (North America),2013,167000,1.5,15400
Toyota,Sienta,2016,74000,1.5,21300
Kia,Pride,2013,185000,1.4,16600
Mercedes,E 220,2005,325497,2.2,12900
Land,Rover RR Velar,2017,77000,2.0,65700
Kia,Sportage,2024,0,1.6,61200
Nissan,Magnite,2025,0,1.0,29900
Mercedes,E 270,1999,490118,2.7,16700
Mitsubishi,Pajero,2014,163000,3.8,29800
Kia,Sorento,2025,0,1.6,75900
Hyundai,Sonata,2018,81000,2.4,26500
BYD,Destroyer 05,2025,0,1.5,22300
Kia,Sportage,2025,0,2.0,47900
Nissan,X-Trail,2008,102000,2.5,19099
Haval,H2,2020,120000,1.5,25500
Opel,Astra,2017,195000,1.6,19500
Mercedes,E 300,2017,121000,2.0,39500
Kia,Carnival,2025,0,2.2,89900
